device_id,device_name,classification,age_fraction,manufacturer_risk_tier,temperature,vibration,hours_used,failed,true_failure_probability,voltage
96323,Device Recall  SpheRx Posted Pedicle Screw System,Orthopedic Devices,0.677,medium,,3.73,6796.44,1,0.592,218.48
22662,Device Recall  Continuous flush device,Cardiovascular Devices,0.596,medium,35.21,1.93,7307.6,1,0.506,212.26
21053,Ultraview Universal Clinical Workstation Model 90385.,Cardiovascular Devices,0.422,low,32.52,0.86,3001.53,0,0.268,208.11
56544,Device Recall  Arm and Hammer,Dental Devices,0.509,medium,,1.8,2694.73,0,0.437,211.31
66903,Riata Lead Riata ST,Cardiovascular Devices,0.646,medium,35.64,2.2,9106.66,1,0.556,215.02
19523,"Device Recall  POWERPORT(R) ClearVUE(R) isp with Smooth Septum, 6F ChronoFlex(TM), Polyurethane Catheter",General Hospital and Personal Use Devices,0.046,medium,19.46,,-18.47,0,0.101,198.48
97446,"Device Recall  DICOM Query/Retrieve, version 1.1.4",Neurological Devices,0.74,high,34.4,2.17,9494.14,1,0.731,221.94
21542,Device Recall  Hospitak,Anesthesiology Devices,0.586,medium,27.48,,6313.62,1,0.506,214.29
21186,"Cook brand Zenith AAA Iliac leg graft with the H&L-B; One-Shot Introducer System, preloaded iliac leg graft - distal cuff diameter 10 mm - usable length 122mm - delivery system 14 FR; Catalog no. TFLE-10-122.",Cardiovascular Devices,0.602,high,35.95,1.53,7332.67,1,0.579,213.3
93596,Device Recall  Kodak Direct View DR 7500 System,Radiology Devices,0.255,low,27.75,0.48,1584.12,0,0.15,212.45
21487,ACCU-CHEK Inform meter; catalog No. 3035123.,Clinical Chemistry and Clinical Toxicology Devices,0.246,high,16.29,,1444.99,0,0.286,200.4
13920,Device Recall  Magic3 Hydrophiliccoated Female Intermittent Catheter,Gastroenterology-Urology Devices,0.33,medium,,0.4,1796.12,0,0.288,207.11
59159,Device Recall  SET SCREW RETAINING DRIVER,Orthopedic Devices,0.493,medium,,1.89,3918.28,0,0.415,210.17
14146,Device Recall  Xpert CT/NG Urine Specimen Collection Kit GXCT/NGSWAB50,Immunology and Microbiology Devices,0.349,medium,18.26,,1897.14,0,0.304,206.12
99312,Device Recall  Pelton & Crane Spirit 1800,Dental Devices,0.28,medium,,0.24,720.76,0,0.237,203.67
98996,Device Recall  TotalCare AC powered adjustable hospital bed,General Hospital and Personal Use Devices,0.39,medium,24.35,,1361.93,0,0.329,206.48
50857,"Sterile, GS0478  LAP Chole Pk   surgical kit",General and Plastic Surgery Devices,0.934,high,40.48,3.65,12334.71,1,0.976,
52915,Stratus CS STAT Fluorometric Analyzer BHCG DilPak (CBHCGD),Clinical Chemistry and Clinical Toxicology Devices,0.79,medium,27.52,,9727.2,1,0.719,226.22
50431,Siemens EasyLink Data Management System,Clinical Chemistry and Clinical Toxicology Devices,0.713,high,24.24,,7122.24,1,0.684,220.65
57774,Device Recall  HD Still Capture,General and Plastic Surgery Devices,0.457,high,27.56,0.69,2469.86,0,0.43,
101737,Legacy(TM) 3 Implant,Dental Devices,0.242,medium,,0.23,733.34,0,0.215,202.54
103792,"VITEK 2 Gram Negative Susceptibility Card, ASTN127",Immunology and Microbiology Devices,0.339,high,16.92,,2367.98,0,0.363,206.04
94123,Device Recall  RenalPure,Gastroenterology-Urology Devices,0.382,medium,,0.62,2595.23,0,0.329,207.69
55643,Device Recall  LigaSure V 5 mm Dolphin Tip Open 20 cm Sealer/Divider,General and Plastic Surgery Devices,0.189,low,25.86,0.12,118.53,0,0.098,
16546,Device Recall  Atrium Medical,Anesthesiology Devices,0.556,high,27.25,,4986.31,1,0.545,213.19
22084,"Vitros Chemistry CRBM Slides, REF 889 2382.  There are 90 slides per box.   For in vitro diagnostic use. Firm on label:  Ortho-Clinical Diagnostics, Inc., Rochester, NY  14626.",Clinical Chemistry and Clinical Toxicology Devices,0.799,high,28.18,,10498.02,1,0.811,227.76
57251,Device Recall  Coonmad/Morrey,Orthopedic Devices,0.356,high,,0.95,1613.66,0,0.364,205.44
21563,Device Recall  BioMed Devices,Anesthesiology Devices,0.575,medium,26.75,,5513.45,0,0.484,213.04
99821,Integra Surgical,General and Plastic Surgery Devices,0.529,high,29.81,1.2,4833.13,1,0.527,
17868,Device Recall  ELEOS LIMB SALVAGE SYSTEM,Orthopedic Devices,0.618,low,,3.24,5957.54,0,0.459,216.08
52449,Fortify Assura,Cardiovascular Devices,0.595,medium,35.75,1.69,8026.35,1,0.515,214.63
42941,Medfusion Model 4000 Syringe Infusion Pump,General Hospital and Personal Use Devices,0.586,low,26.75,,4370.33,0,0.416,212.49
50709,Basic Pack  contains Devon Light Glove,General and Plastic Surgery Devices,0.344,high,26.07,0.41,2145.76,0,0.353,
96013,Device Recall  OSS FINN Proximal Femoral Trial 7 cm,Orthopedic Devices,0.17,high,,0.64,502.63,0,0.244,199.7
15786,Device Recall  Conical EP PickUp Coping (Hexed),Dental Devices,0.559,high,,1.76,3074.96,1,0.543,213.62
37248,Complete Moisture Plus,Ophthalmic Devices,0.123,low,19.42,,-161.15,0,0.06,201.14
114403,"DX-D 600 X-ray System, Versions below 3.6",Radiology Devices,0.173,medium,25.62,0.06,379.49,0,0.175,214.17
59516,Device Recall  Proteus 325,Radiology Devices,0.366,medium,28.46,0.64,3055.32,0,0.301,215.33
116905,Advocate Redi-Code+BMB-BA006A Blood Glucose Test Strips - All Lots,Clinical Chemistry and Clinical Toxicology Devices,0.34,low,17.17,,1370.38,0,0.196,203.81
22930,Device Recall  Peripheral Cutting Balloon Microsurgical Dilatation Device small Monorail Delivery System,Cardiovascular Devices,0.407,low,32.28,1.04,3344.2,0,0.264,207.73
95869,Device Recall  AdvantageSim MD,Radiology Devices,0.211,high,27.09,0.38,2124.93,0,0.283,214.15
58927,Device Recall  Portex Arterial Blood Sampling Line Draw Syringes,Clinical Chemistry and Clinical Toxicology Devices,0.265,high,16.13,,2166.39,0,0.307,202.46
101503,LOW PROFILE ABUTMENTS  INTERNAL AND EXTERNAL CONNECTION,Dental Devices,0.57,high,,2.26,3265.1,1,0.563,213.54
98300,Device Recall  HiSpeed LXI,Radiology Devices,0.642,high,35.03,2.68,11343.29,1,0.631,226.16
103358,"Zimmer Gender Solutions Natural Knee Flex System, Prolong Articular Surface,",Orthopedic Devices,0.483,high,,2.12,4298.94,0,0.485,209.2
95597,Device Recall  Genicon,General and Plastic Surgery Devices,0.34,low,26.32,0.28,2143.61,0,0.198,
57605,"Device Recall  Anspach Custom XMax Motor, Pneumatic with Hand Control and Custom Autolube III","Ear, Nose, and Throat Devices",0.191,high,,0.37,429.61,0,0.254,198.32
17062,Device Recall  Vascular Pack,General and Plastic Surgery Devices,0.54,high,30.54,0.96,3928.96,1,0.52,
14516,Device Recall  NexGen Precoat Stemmed Tibia/NexGen Nonaugmentable Tibial Component,Orthopedic Devices,0.182,high,,0.24,247.26,0,0.239,199.63
103030,PREMISE,Dental Devices,0.622,high,,2.04,4324.51,1,0.602,214.98
18530,"Device Recall  Prosthesis Shoulder Hemi Humeral Metallic Uncemented.  ExploR, ExploR Radial Head",Orthopedic Devices,0.793,high,,5.32,9877.59,1,0.803,226.02
55393,"Device Recall  Encision AEM Suction Irrigation Electrode, LDiamond",General and Plastic Surgery Devices,0.281,medium,26.37,0.23,1051.88,0,0.239,
99457,Device Recall  BioPlex 2200 EBV IgG Calibrator Set.,Immunology and Microbiology Devices,0.128,medium,15.54,,1568.44,0,0.157,198.14
49558,"STAT 2 Primary Administration Set Gravity Flow Controller (NeedleFree),",General Hospital and Personal Use Devices,0.199,high,20.52,,437.33,0,0.252,200.87
93622,Device Recall  VS1000 Senator,Physical Medicine Devices,0.45,low,,1.43,2852.44,0,0.304,209.41
57135,"Device Recall  Adult Resuscitator, Pro5000 Series",Anesthesiology Devices,0.304,medium,20.88,,1485.23,0,0.254,204.82
95503,Device Recall  Zimmer NaturalKnee II System Modular Cemented Tibial Baseplate,Orthopedic Devices,0.306,high,,0.71,1224.04,0,0.331,204.68
95780,Device Recall  Diagnostic Chemicals Limited,Clinical Chemistry and Clinical Toxicology Devices,0.794,low,28.13,,10596.19,1,0.64,222.63
52027,Olympus High Freqency Resection Electrodes,Gastroenterology-Urology Devices,0.509,medium,,1.45,3098.32,0,0.417,207.65
96105,Device Recall  Roche Coaguchex XS Systems for Patient SelfTesting,Hematology and Pathology Devices,0.36,high,18.42,,2211.63,0,0.382,205.86
94141,Device Recall  INTELECT ADVANCED,Physical Medicine Devices,0.571,medium,,2.37,3812.63,0,0.481,212.14
19591,"Device Recall  Aplio Iseries (i700, i800, i900)",Radiology Devices,0.654,medium,35.08,2.6,11874.57,1,0.568,226.27
112149,Alere INRatio®/Alere INRatio®2,Hematology and Pathology Devices,0.383,low,19.04,,2272.84,0,0.248,206.14
94156,Device Recall  CADD Medication Cassette Reservoirs,General Hospital and Personal Use Devices,0.171,high,19.22,,498.8,0,0.249,204.22
53997,Prelude Short Sheath Introducer,Cardiovascular Devices,0.474,medium,32.64,1.18,3947.78,0,0.391,210.27
101523,Adelante Breezway,Cardiovascular Devices,0.23,medium,30.26,0.31,1304.73,0,0.208,202.87
42530,I-Flow On-Q Pump C-Cloc with Ondemand Bolus button,General Hospital and Personal Use Devices,0.281,low,22.01,,1184.71,0,0.162,201.53
101731,VIGILANT X4 CRTD,Cardiovascular Devices,0.07,medium,29.84,0.13,-350.28,0,0.115,199.87
20361,Device Recall  Boston Scientific Scimed,Cardiovascular Devices,0.711,medium,37.26,2.53,10250.53,1,0.623,219.3
20782,Device Recall  Acuson Cypress Echocardiography System,Radiology Devices,0.233,low,25.43,0.63,830.71,0,0.13,212.68
23095,"Toshiba America Medical Systems, Ultimax System MDX-8000A equipped with the EPS-Plus/ADR-1000A/E2D Digital Spot Film Device",Radiology Devices,0.424,medium,28.6,0.66,3929.39,0,0.336,216.59
50843,Maryland Dissector,General and Plastic Surgery Devices,0.493,high,28.97,1.03,3644.15,0,0.484,
53763,TURP Electrodes,Gastroenterology-Urology Devices,0.302,medium,,0.47,852.27,0,0.257,204.49
94382,Device Recall  Edwards LifeStent FlexStar Biliary Stent System,Gastroenterology-Urology Devices,0.098,high,,0.05,86.16,0,0.198,200.48
20114,Vision Hollow Fiber Oxygenator,Cardiovascular Devices,0.4,low,31.87,0.75,3987.56,0,0.248,205.16
98532,Device Recall  ATF 120 (item  9108501),Anesthesiology Devices,0.317,low,23.49,,1455.85,0,0.195,203.66
77470,"angonographic beacon tip torcon nb catheters, beacon tip royal flush plus high-flow and slip-cath beacon tip catheters",Cardiovascular Devices,0.578,medium,34.92,1.74,5592.25,0,0.485,213.41
114734,Brainlab Cranial Navigation System (all versions before Cranial 3.0),Neurological Devices,0.209,medium,25.09,0.15,817.55,0,0.194,203.53
99395,Device Recall  NEXGEN COMPLETE KNEE SOLUTION POSTERIOR REFERENCING SIZER BOOM,Orthopedic Devices,0.432,medium,,1.7,3482.69,0,0.373,208.59
74871,Duet External Drainage and Monitoring System,Neurological Devices,0.346,high,27.28,0.57,2715.25,0,0.367,204.28
52408,BOX PST03533 KIT APP STAPLER,General and Plastic Surgery Devices,0.457,medium,28.25,0.52,2691.51,0,0.363,
100388,Ready To Use ThymoCide,General Hospital and Personal Use Devices,0.395,low,23.77,,1599.71,0,0.243,204.58
60147,Device Recall  Diamondback 360 Peripheral Orbital Atherectomy System.,Cardiovascular Devices,0.175,low,29.42,0.09,-752.79,0,0.081,200.18
100518,VITROS Chemistry Products Calibrator Kit 2,Clinical Chemistry and Clinical Toxicology Devices,0.166,high,15.96,,1474.79,0,0.248,200.51
98195,Device Recall  Philips Healthcare HeartStart MRx,Cardiovascular Devices,0.232,high,30.69,0.26,1553.02,0,0.281,202.47
93567,Device Recall  Like Universal Sling Bar,General Hospital and Personal Use Devices,0.789,low,31.88,,7892.86,1,0.639,225.74
97730,Device Recall  ARTERIAL LINE KIT,Gastroenterology-Urology Devices,0.896,high,,3.9,10815.33,1,0.915,231.97
114123,CARESCAPE Monitor B650 Software Versions: 1.1.12.26 or earlier,Cardiovascular Devices,0.441,high,32.8,1.07,3532.59,0,0.439,209.23
113311,Allura Xper FD20 Biplane / FD20 Biplane OR table (Flouroscopic angiographic digital x-ray system) Software versions prior to 8.1.0.3 are affected,Radiology Devices,0.563,high,32.87,1.91,7115.5,1,0.545,223.67
93486,Device Recall  Endura NoReact,Cardiovascular Devices,0.627,high,35.01,2.05,7571.79,1,0.603,215.9
103086,Replacement Gastrostomy Device,Gastroenterology-Urology Devices,0.238,medium,,0.23,1004.9,0,0.224,204.82
53597,Century Bed,General Hospital and Personal Use Devices,0.37,medium,22.85,,1788.7,0,0.305,203.93
95642,Device Recall  Neos Vanadium Excavator,Dental Devices,0.212,medium,,0.4,1231.39,0,0.212,202.09
56072,Device Recall  Siemens syngo Imaging XS,Radiology Devices,0.524,high,32.87,1.69,7128.28,1,0.518,221.64
59367,Device Recall  ARCHITECT Intact PTH Calibrators,Clinical Chemistry and Clinical Toxicology Devices,0.336,high,17.52,,1332.89,0,0.355,205.94
56989,Device Recall  Aesculap S4 Element 4.5mm Polyaxial Screws,Orthopedic Devices,0.737,medium,,4.5,7641.39,1,0.647,219.96
17526,Device Recall  Dimension Vista Ferritin (FERR) Flex reagent cartridge,Immunology and Microbiology Devices,0.277,high,16.91,,758.84,0,0.31,203.55
52127,Affixus Intramedullary Hip Fracture Nail,Orthopedic Devices,0.065,high,,-0.1,-189.82,0,0.192,203.24
99351,Device Recall  Welcon,Gastroenterology-Urology Devices,0.421,high,,0.79,2331.25,0,0.415,206.73
15796,Device Recall  Sharpoint,General and Plastic Surgery Devices,0.672,low,31.26,1.9,6136.01,0,0.495,
103572,"BD QSyte Extension Set, Luer access extension",General Hospital and Personal Use Devices,0.156,medium,21.02,,-97.69,0,0.164,201.52
56015,Device Recall  AngioDynamics Morpheus Smart PICC CT,General Hospital and Personal Use Devices,0.409,high,23.56,,2191.66,0,0.413,206.75
101992,Somatom,Radiology Devices,0.211,medium,26.88,0.23,1410.41,0,0.198,211.33
94856,Device Recall  Medtronic Carmedacoated,Cardiovascular Devices,0.19,medium,29.25,0.16,1185.51,0,0.183,202.52
19990,Device Recall  CryoValve Allograft,Cardiovascular Devices,0.549,medium,34.08,1.37,5886.66,0,0.456,212.46
102220,"Sterile Multi-Purpose Solution, NO RUB, for soft hydrophylic contact lenses. 12 fl oz. bottles. || Sold under the following brand names: || Family Dollar || HomeBest || HEB || Meijer || Food Lion || health PRIDE || Stop and Shop || Super G || sunmark || Brite-Life || Wegmans || Our Family || Healthy Generations || GoodSense || Winn Dixie || Finast || Western Family || K C Pharmaceuticals",Ophthalmic Devices,0.517,low,24.91,,2987.8,0,0.354,210.51
53492,Depuy Preservation Uni Knee,Orthopedic Devices,0.614,high,,2.77,5882.91,1,0.594,215.15
49367,CDI 500,Cardiovascular Devices,0.158,high,30.73,-0.06,-317.81,0,0.23,201.34
60086,Device Recall  Synthes 3.0 MM TI Cannulated Screw Instrument and Implant Set,Orthopedic Devices,0.137,medium,,0.24,58.87,0,0.15,200.79
58642,Device Recall  AOA Mini RPE Screw Assembly,Dental Devices,0.106,medium,,-0.01,-152.72,0,0.131,200.94
2957,"Medtronic Deep Brain Stimulation (DBS) Lead, Model 3387",Neurological Devices,0.234,high,25.78,0.25,922.0,0,0.28,202.28
23380,Device Recall  MagNa Pure,Hematology and Pathology Devices,0.382,high,17.98,,2328.68,0,0.396,207.77
52531,Boston Scientific /Microvasive,Cardiovascular Devices,0.326,medium,31.89,0.81,1970.02,0,0.289,206.68
56280,Device Recall  Sarns SoftFlow Aortic Cannula,Cardiovascular Devices,0.162,high,30.62,0.15,1077.77,0,0.237,199.33
19681,Device Recall  RS 5F DL BIOFLO PASV,General Hospital and Personal Use Devices,0.186,high,20.58,,112.23,0,0.247,201.97
56829,Device Recall  DeRoyal Surgical Kits and Trays,General and Plastic Surgery Devices,0.061,medium,26.36,0.04,13.07,0,0.121,
54676,Innova 2000,Radiology Devices,0.144,high,24.72,0.16,907.45,0,0.225,211.12
13676,Device Recall  Gentle Threads,Orthopedic Devices,0.333,high,,0.7,1096.28,0,0.338,203.8
42847,Wingman35 Crossing Catheters,Cardiovascular Devices,0.39,low,32.14,0.47,3823.59,0,0.24,205.88
21911,"Nichols IRMA Intact PTH Assay, catalog No. 40-2171",Clinical Chemistry and Clinical Toxicology Devices,0.27,medium,16.6,,1577.19,0,0.237,202.36
98605,Device Recall  WalkMed Infusion Triton 90,General Hospital and Personal Use Devices,0.219,medium,21.88,,1018.4,0,0.212,201.8
21684,Device Recall  ElectriCool II,Physical Medicine Devices,0.43,medium,,1.39,2138.72,0,0.353,206.19
18804,Device Recall  Sterilization Wrap,General Hospital and Personal Use Devices,0.148,high,20.13,,48.59,0,0.225,201.7
23018,Device Recall  METRx II Tube,Orthopedic Devices,0.482,medium,,1.48,3221.24,0,0.385,207.56
18573,Device Recall  RingLoc Acetabular Shells,Orthopedic Devices,0.202,high,,0.3,801.35,0,0.26,201.36
52880,TCPLUS Solution,Orthopedic Devices,0.36,medium,,1.28,2198.88,0,0.317,207.65
16907,Device Recall  Regard,General and Plastic Surgery Devices,0.898,high,38.98,3.3,11931.38,1,0.929,
52439,Stockert HeaterCooler System 3T,Cardiovascular Devices,0.33,low,31.58,0.52,2869.27,0,0.2,204.43
