device_id,device_name,classification,age_fraction,temperature,vibration,hours_used,failed,true_failure_probability,voltage
15749,Device Recall  da Vinci Xi Surgical System cannula seal,General and Plastic Surgery Devices,0.588,31.85,1.39,4585.25,0,0.473,
19695,Device Recall  Philips Brilliance Big Bore Radiology 728244,Radiology Devices,0.358,25.77,0.58,2264.66,0,0.221,214.82
63256,Bridge™ Occlusion Balloon,Cardiovascular Devices,0.289,31.51,0.44,1992.0,0,0.195,204.75
49376,Servos Ventilator Systems,Anesthesiology Devices,0.113,20.52,,-34.25,0,0.062,200.38
52903,Blood Gas and CoOx Electrolyte & Metabolyte Analyzers.,Clinical Chemistry and Clinical Toxicology Devices,0.518,20.87,,4986.87,0,0.409,211.87
103130,Premisa,Dental Devices,0.183,,-0.12,134.08,0,0.094,199.87
57780,Device Recall  Artis Systems with Software Artis VC20x/VC21A/VD10x,Radiology Devices,0.641,35.46,2.7,10770.36,1,0.534,226.44
54384,Coated VICRYL RAPIDE  (polyglactin 910) Braided Coated Synthetic Absorbable Suture,General and Plastic Surgery Devices,0.388,28.06,0.58,2953.58,0,0.283,
20860,Device Recall  HideAPort Low Profile Balloon Gastrostomy Tube Kit,Gastroenterology-Urology Devices,0.114,,0.18,-102.58,0,0.069,201.32
21913,Device Recall  MMS,Anesthesiology Devices,0.194,21.0,,948.04,0,0.125,202.58
13938,Device Recall  Major Laparotomy Pack,General and Plastic Surgery Devices,0.165,25.49,-0.03,569.51,0,0.094,
55367,Device Recall  Therapy Ablation Catheter,Cardiovascular Devices,0.189,31.15,0.23,1231.28,0,0.128,203.2
17162,Device Recall  Regard,General and Plastic Surgery Devices,0.192,25.86,0.21,821.73,0,0.123,
52273,Retractor f/Sciatic Nerve Long,General and Plastic Surgery Devices,0.312,26.77,0.39,1401.78,0,0.206,
18621,"Device Recall  BD MAX"" UVE Specimen Collection Kit",Clinical Chemistry and Clinical Toxicology Devices,0.297,17.88,,1500.6,0,0.207,204.58
23560,Device Recall  Welch Allyn PIC 50 Portable Monitor/Defibrillator,Immunology and Microbiology Devices,0.452,19.37,,2462.23,0,0.319,206.94
17250,Device Recall  Olympus ENDOEYE HD II Video Telescopes,Obstetrical and Gynecological Devices,0.242,26.73,,1142.54,0,0.168,203.04
103984,Sternal Saw II Sterile Blades,General and Plastic Surgery Devices,0.872,38.01,3.17,10520.32,1,0.821,
113306,"Eclipse Treatment Planning System, (Radiation therapy treatment planning system), version 11Version 11 with PBC 11.0.21, 11.0.30",Radiology Devices,0.625,34.98,2.39,9093.49,0,0.497,222.69
98786,Device Recall  ThermiSense model 5700A5,Anesthesiology Devices,0.231,22.02,,610.43,0,0.15,202.85
109704,Jaundice Meter JM-103 + Jaundice Meter JM-105,Clinical Chemistry and Clinical Toxicology Devices,0.804,28.26,,10963.75,1,0.727,224.04
98130,Device Recall  Hydrophylic guidewire,Cardiovascular Devices,0.634,36.22,2.21,7653.42,1,0.513,212.96
49618,LifeShield Primary Plumset,General Hospital and Personal Use Devices,0.152,21.09,,-150.51,0,0.085,198.81
55333,Device Recall  Applied Medical Kii Optical Access System,General and Plastic Surgery Devices,0.039,24.97,0.23,117.01,0,0.031,
57486,"Device Recall  Rehab Tough and Tilt (TNT), Rehab Recline and Mobility (RAM), Rehab Kidster (Kidster)",Physical Medicine Devices,0.102,,-0.36,-344.55,0,0.052,200.31
52781,Electrophysiology Imaging System,Radiology Devices,0.448,29.32,1.34,6562.91,0,0.33,217.69
28906,"Pipeline Embolization Device (Pipeline Classic), Alligator Retrieval Device, Xcelerator Hydrophilic Guidewire, UltraFlow HPC Flow Directed Microcatheter, Marathon Flow Directed Microcatheter",Neurological Devices,0.405,27.38,0.48,2818.29,0,0.276,206.33
84619,ULTRA 8 INTRA-AORTIC BALLOON - LIGHTWAVE SENSOR,Cardiovascular Devices,0.015,29.91,-0.06,113.7,0,0.008,198.74
9362,Batteries used with Capnostream 20 and Capnostream 20p monitors,Anesthesiology Devices,0.089,19.97,,8.2,0,0.054,202.29
17542,"Device Recall  RENOVATION, THIN OSTEOTOME BLADE, 8 MM X 3 INCH",General and Plastic Surgery Devices,0.465,28.5,0.97,2663.64,0,0.339,
22836,"Device Recall  Clinical Chemistry Apolipoprotein A1, List Number 9D9220",Immunology and Microbiology Devices,0.52,20.02,,4458.23,0,0.405,212.86
96320,Device Recall  SpheRx Posted Pedicle Screw System,Orthopedic Devices,0.556,,1.99,4955.91,0,0.431,213.64
22736,Device Recall  LifeCare PCA3,General Hospital and Personal Use Devices,0.27,21.35,,424.18,0,0.161,202.18
41256,Maquet / Datascope CS100i and others,Cardiovascular Devices,0.405,32.48,0.69,3245.42,0,0.282,206.88
51492,FemTouch delivery system,General and Plastic Surgery Devices,0.323,26.92,0.63,1979.8,0,0.23,
99706,GE SENOGRAPHE ESSENTIAL FULL FIELD MAMMOGRAPHY SYSTEM,Radiology Devices,0.331,25.68,0.7,3217.53,0,0.21,213.3
57758,Device Recall  Archer Super Stiff Guidewire,Cardiovascular Devices,0.039,29.15,0.1,1464.19,0,0.031,198.85
55607,Device Recall  ZMR Trabecular Metal,Orthopedic Devices,0.253,,0.53,892.2,0,0.159,202.67
18379,Device Recall  Napsin A (MRQ60 Mab) CM,Hematology and Pathology Devices,0.415,18.18,,2881.83,0,0.297,207.45
54589,Gemstar Pump Set,General Hospital and Personal Use Devices,0.088,19.91,,-711.02,0,0.044,199.49
59165,"Device Recall  6.5"" (16.5 cm) Appx 0.30 ml, Smallbore Pressure Infusion (400psig)",General Hospital and Personal Use Devices,0.875,34.86,,9274.12,1,0.818,230.69
96790,Device Recall  Merit Medical,General and Plastic Surgery Devices,0.2,25.47,0.24,1511.9,0,0.132,
102820,"Medtronic Sofamor Danek, Satellite System Sphere PEEK",Orthopedic Devices,0.447,,1.59,2819.55,0,0.331,210.22
99084,Device Recall  Infusion Administration Set,General Hospital and Personal Use Devices,0.474,23.9,,2495.42,0,0.339,208.47
58239,Device Recall  GE Centricity PACS,Radiology Devices,0.41,30.08,1.07,4441.87,0,0.295,216.58
13203,Device Recall  Sony Medical Monitor LMD1951MD 19 inch,General and Plastic Surgery Devices,0.768,34.9,2.31,8538.16,0,0.679,
3754,Halyard KimVent Subglottic Suctioning Endotracheal Tubes,Anesthesiology Devices,0.395,23.92,,2859.21,0,0.283,206.45
51167,BIOGRAPH mCT Flow 643R,Radiology Devices,0.393,28.51,1.1,3318.46,0,0.269,214.92
42513,Complete MoisturePlus contact lens solution,Ophthalmic Devices,0.42,22.63,,2215.01,0,0.289,205.08
21206,"Cook brand Zenith AAA Iliac leg graft with the H&L-B; One-Shot Introducer System, preloaded iliac leg graft - distal cuff diameter 18 mm - usable length 54mm - delivery system 16 FR; Catalog no. TFLE-18-54.",Cardiovascular Devices,0.665,36.51,2.17,7224.57,1,0.54,217.36
98329,Device Recall  CUSA NXT Ultra Surgical Aspirator System,General and Plastic Surgery Devices,0.483,28.63,0.93,3441.75,0,0.357,
94463,Device Recall  Baxa ExactaMix 600 Pharmacy compounding system,General Hospital and Personal Use Devices,0.735,30.94,,6283.99,1,0.636,221.46
97663,"Device Recall  COULTER PrepPlus, Part Number: 286600",Clinical Chemistry and Clinical Toxicology Devices,0.182,15.06,,1870.93,0,0.111,199.48
95100,Device Recall  EasyDiagnost Eleva,Radiology Devices,0.375,27.46,0.7,4827.35,1,0.252,214.29
57476,Device Recall  CONFIDENCE SPINAL CEMENT SYSTEM 7CC KIT,Orthopedic Devices,0.364,,1.08,2212.19,0,0.25,205.14
20489,Device Recall  Zimmon Pancreatic Stent,Gastroenterology-Urology Devices,0.138,,0.16,-143.78,0,0.086,202.74
13211,Device Recall  FREEDOMAIRE(R) MOTOR MODULE,General Hospital and Personal Use Devices,0.044,19.29,,496.61,0,0.029,199.1
52186,HemosIL ReadiPlasTin,Hematology and Pathology Devices,0.134,16.11,,384.79,0,0.082,200.29
14509,Device Recall  Contender Postop Knee Brace,Physical Medicine Devices,0.384,,1.1,1282.26,0,0.252,203.84
30539,"Alere INRatio®2 PT/INR Test Strips, Heparin Insensitive",Hematology and Pathology Devices,0.383,18.26,,2816.55,0,0.275,205.87
50322,TX1 Tissue Removal System,General and Plastic Surgery Devices,0.304,25.64,0.22,1034.86,0,0.18,
56874,Device Recall  Philips,Radiology Devices,0.423,30.39,1.21,4386.03,0,0.314,218.97
98673,Device Recall  DEPUY ASR RESURFACING FEMORAL HEADS,Orthopedic Devices,0.397,,0.89,2318.35,0,0.282,209.37
102553,Terumo APS 1,Cardiovascular Devices,0.068,30.41,0.26,45.95,1,0.044,199.23
22218,Device Recall  P.F.C.,Orthopedic Devices,0.757,,4.57,8674.3,1,0.669,223.66
18323,Device Recall  ECT Internal Fracture Fixation Drill Bits,Orthopedic Devices,0.1,,0.3,613.58,0,0.072,202.03
97526,"Device Recall  UROLOGIX CTC Advance"" Standard Microwave Catheter",Gastroenterology-Urology Devices,0.431,,0.77,2396.15,0,0.308,208.68
95088,Device Recall  Fabius Trio Gas machine,Anesthesiology Devices,0.251,21.47,,48.52,0,0.153,203.6
54118,Posey Connecting Strap/Belt,General Hospital and Personal Use Devices,0.109,20.48,,-92.93,0,0.058,198.16
98280,"Device Recall  TwoLumen Central Venous Catheterization kit with Blue FlexTip  ARROW gard Blue PLUS Catheter, Shar",General Hospital and Personal Use Devices,0.594,27.66,,3813.24,0,0.471,213.61
100188,Superstat Modified Collagen Hemostatic Sponge,General and Plastic Surgery Devices,0.16,25.21,0.28,1021.58,0,0.106,
14453,Device Recall  ProScreen,Clinical Chemistry and Clinical Toxicology Devices,0.206,15.57,,982.0,0,0.118,199.78
115957,Emblem and SQ-RX Subcutaneous-Implantable Cardiac Defibrillators (S-ICDs),Cardiovascular Devices,0.483,33.2,1.28,4687.65,0,0.359,209.64
99358,Device Recall  Welcon,Gastroenterology-Urology Devices,0.429,,0.99,2416.4,0,0.301,205.46
54934,Device Recall  Innova SelfExpanding Stent System,Cardiovascular Devices,0.584,34.95,1.53,7454.46,0,0.464,214.61
98426,Device Recall  Huber TrapA Safety Huber Needle,General Hospital and Personal Use Devices,0.792,31.19,,7456.81,0,0.693,224.02
98436,"Device Recall  Modular Microplasty Cup inserter 3/8"" thread",Orthopedic Devices,0.065,,0.52,-502.74,0,0.043,198.07
16385,Device Recall  SENSAR,Ophthalmic Devices,0.495,24.89,,3307.35,0,0.384,209.83
96154,Device Recall  Stryker 550 mL AutoFuser PainPump,General Hospital and Personal Use Devices,0.491,25.0,,3072.48,0,0.374,210.62
58300,Device Recall  Trabecular Metal,Orthopedic Devices,0.163,,0.46,502.2,0,0.101,200.95
96170,Device Recall  Alaris System InterUnit Interface (IUI) Connectors,General Hospital and Personal Use Devices,0.276,20.39,,980.78,0,0.166,202.78
98854,"Device Recall  Brilliance 64 Computed Tomography XRay System Model 728231,",Radiology Devices,0.618,35.12,2.41,9071.72,1,0.505,225.89
52449,Fortify Assura,Cardiovascular Devices,0.523,33.86,1.43,5440.75,0,0.404,212.84
42941,Medfusion Model 4000 Syringe Infusion Pump,General Hospital and Personal Use Devices,0.478,23.96,,2831.2,0,0.353,209.99
59767,Device Recall  EminiC,Anesthesiology Devices,0.232,21.23,,665.74,0,0.133,199.94
57612,Device Recall  Anspach Custom Circular ePlusFP,Neurological Devices,0.18,24.96,0.44,632.12,0,0.109,199.84
15786,Device Recall  Conical EP PickUp Coping (Hexed),Dental Devices,0.559,,1.76,3074.96,0,0.436,213.62
98133,Device Recall  Hydrophylic guidewire,Cardiovascular Devices,0.316,31.36,0.52,2504.02,0,0.208,203.18
57802,Device Recall  Stryker Irrigator Reusable Tips,General Hospital and Personal Use Devices,0.116,20.04,,427.61,0,0.072,201.99
99688,"Device Recall  Pinnacle Destination Guiding Sheath, 6 French, 90 cm",Cardiovascular Devices,0.427,32.58,0.92,3584.3,0,0.297,205.51
21689,"BD ProbeTec¿ ET Urine Processing Kit, 4x25, catalog 440454, packaged in a carton containing 4 storage bags identified as BD ProbeTec¿ ET Urine Processing Pouches, 25 pouches/bag. Carton and bags labeled in part ***Becton, Dickinson and Company, 7 Loveton Circle, Sparks, MD 21152***",Immunology and Microbiology Devices,0.221,15.87,,817.47,0,0.131,201.07
53973,Bone Screw,Orthopedic Devices,0.183,,0.2,1126.66,0,0.122,203.39
102953,Morton IUI Catheter,Obstetrical and Gynecological Devices,0.449,28.5,,3135.15,0,0.335,207.42
102915,RP Duet LX/Pro Out Port w/Seal,Anesthesiology Devices,0.455,23.41,,4302.27,0,0.339,210.35
55267,Device Recall  Brilliance CT XRay System,Radiology Devices,0.258,28.89,0.38,2229.64,0,0.172,211.54
15325,"Device Recall  AB Sciex API 3200MD, 3200MD QTRAP, Triple Quad, QTRAP 4500MD LC/MS/MS Systems",Clinical Chemistry and Clinical Toxicology Devices,0.232,15.27,,697.73,0,0.132,201.7
13348,"Device Recall  CROSSCHECK(R) Plating system, MTP CX Plate, Right, REF CCPMPX1R",Orthopedic Devices,0.278,,0.8,1313.14,0,0.198,206.81
18998,Device Recall  Trabecular Metal Primary Hip Prosthesis,Orthopedic Devices,0.426,,1.6,2150.52,0,0.306,208.63
56967,Device Recall  ABL 700 blood gas analyzer,Clinical Chemistry and Clinical Toxicology Devices,0.155,16.31,,1078.2,0,0.1,199.3
96502,Device Recall  APEX Hip System Bipolar Head,Orthopedic Devices,0.243,,0.66,1406.17,0,0.151,198.95
96202,Device Recall  Exogen 4000Ultrasound Bone Healing System,Orthopedic Devices,0.041,,0.38,-317.24,0,0.028,199.15
103030,PREMISE,Dental Devices,0.622,,2.04,4324.51,1,0.502,214.98
18530,"Device Recall  Prosthesis Shoulder Hemi Humeral Metallic Uncemented.  ExploR, ExploR Radial Head",Orthopedic Devices,0.793,,5.32,9877.59,1,0.726,226.02
55393,"Device Recall  Encision AEM Suction Irrigation Electrode, LDiamond",General and Plastic Surgery Devices,0.281,26.37,0.23,1051.88,0,0.176,
99457,Device Recall  BioPlex 2200 EBV IgG Calibrator Set.,Immunology and Microbiology Devices,0.128,15.54,,1568.44,0,0.086,198.14
49558,"STAT 2 Primary Administration Set Gravity Flow Controller (NeedleFree),",General Hospital and Personal Use Devices,0.199,20.52,,437.33,0,0.113,200.87
93622,Device Recall  VS1000 Senator,Physical Medicine Devices,0.45,,1.43,2852.44,0,0.338,209.41
57135,"Device Recall  Adult Resuscitator, Pro5000 Series",Anesthesiology Devices,0.304,20.88,,1485.23,0,0.193,204.82
95503,Device Recall  Zimmer NaturalKnee II System Modular Cemented Tibial Baseplate,Orthopedic Devices,0.306,,0.71,1224.04,0,0.201,204.68
95780,Device Recall  Diagnostic Chemicals Limited,Clinical Chemistry and Clinical Toxicology Devices,0.794,28.13,,10596.19,1,0.711,222.63
52027,Olympus High Freqency Resection Electrodes,Gastroenterology-Urology Devices,0.509,,1.45,3098.32,0,0.374,207.65
96105,Device Recall  Roche Coaguchex XS Systems for Patient SelfTesting,Hematology and Pathology Devices,0.36,18.42,,2211.63,0,0.257,205.86
94141,Device Recall  INTELECT ADVANCED,Physical Medicine Devices,0.571,,2.37,3812.63,0,0.446,212.14
19591,"Device Recall  Aplio Iseries (i700, i800, i900)",Radiology Devices,0.654,35.08,2.6,11874.57,1,0.542,226.27
112149,Alere INRatio®/Alere INRatio®2,Hematology and Pathology Devices,0.383,19.04,,2272.84,0,0.276,206.14
94156,Device Recall  CADD Medication Cassette Reservoirs,General Hospital and Personal Use Devices,0.171,19.22,,498.8,0,0.11,204.22
53997,Prelude Short Sheath Introducer,Cardiovascular Devices,0.474,32.64,1.18,3947.78,0,0.345,210.27
101523,Adelante Breezway,Cardiovascular Devices,0.23,30.26,0.31,1304.73,0,0.142,202.87
42530,I-Flow On-Q Pump C-Cloc with Ondemand Bolus button,General Hospital and Personal Use Devices,0.281,22.01,,1184.71,0,0.18,201.53
101731,VIGILANT X4 CRTD,Cardiovascular Devices,0.07,29.84,0.13,-350.28,0,0.038,199.87
20361,Device Recall  Boston Scientific Scimed,Cardiovascular Devices,0.711,37.26,2.53,10250.53,1,0.604,219.3
20782,Device Recall  Acuson Cypress Echocardiography System,Radiology Devices,0.233,25.43,0.63,830.71,0,0.144,212.68
23095,"Toshiba America Medical Systems, Ultimax System MDX-8000A equipped with the EPS-Plus/ADR-1000A/E2D Digital Spot Film Device",Radiology Devices,0.424,28.6,0.66,3929.39,0,0.284,216.59
50843,Maryland Dissector,General and Plastic Surgery Devices,0.493,28.97,1.03,3644.15,0,0.372,
53763,TURP Electrodes,Gastroenterology-Urology Devices,0.302,,0.47,852.27,0,0.196,204.49
94382,Device Recall  Edwards LifeStent FlexStar Biliary Stent System,Gastroenterology-Urology Devices,0.098,,0.05,86.16,0,0.054,200.48
20114,Vision Hollow Fiber Oxygenator,Cardiovascular Devices,0.4,31.87,0.75,3987.56,0,0.275,205.16
98532,Device Recall  ATF 120 (item  9108501),Anesthesiology Devices,0.317,23.49,,1455.85,0,0.216,203.66
77470,"angonographic beacon tip torcon nb catheters, beacon tip royal flush plus high-flow and slip-cath beacon tip catheters",Cardiovascular Devices,0.578,34.92,1.74,5592.25,0,0.45,213.41
114734,Brainlab Cranial Navigation System (all versions before Cranial 3.0),Neurological Devices,0.209,25.09,0.15,817.55,0,0.127,203.53
99395,Device Recall  NEXGEN COMPLETE KNEE SOLUTION POSTERIOR REFERENCING SIZER BOOM,Orthopedic Devices,0.432,,1.7,3482.69,0,0.326,208.59
74871,Duet External Drainage and Monitoring System,Neurological Devices,0.346,27.28,0.57,2715.25,0,0.241,204.28
52408,BOX PST03533 KIT APP STAPLER,General and Plastic Surgery Devices,0.457,28.25,0.52,2691.51,0,0.314,
100388,Ready To Use ThymoCide,General Hospital and Personal Use Devices,0.395,23.77,,1599.71,0,0.27,204.58
60147,Device Recall  Diamondback 360 Peripheral Orbital Atherectomy System.,Cardiovascular Devices,0.175,29.42,0.09,-752.79,0,0.09,200.18
100518,VITROS Chemistry Products Calibrator Kit 2,Clinical Chemistry and Clinical Toxicology Devices,0.166,15.96,,1474.79,0,0.108,200.51
98195,Device Recall  Philips Healthcare HeartStart MRx,Cardiovascular Devices,0.232,30.69,0.26,1553.02,0,0.146,202.47
93567,Device Recall  Like Universal Sling Bar,General Hospital and Personal Use Devices,0.789,31.88,,7892.86,1,0.711,225.74
97730,Device Recall  ARTERIAL LINE KIT,Gastroenterology-Urology Devices,0.896,,3.9,10815.33,1,0.85,231.97
114123,CARESCAPE Monitor B650 Software Versions: 1.1.12.26 or earlier,Cardiovascular Devices,0.441,32.8,1.07,3532.59,0,0.321,209.23
113311,Allura Xper FD20 Biplane / FD20 Biplane OR table (Flouroscopic angiographic digital x-ray system) Software versions prior to 8.1.0.3 are affected,Radiology Devices,0.563,32.87,1.91,7115.5,1,0.439,223.67
93486,Device Recall  Endura NoReact,Cardiovascular Devices,0.627,35.01,2.05,7571.79,1,0.504,215.9
103086,Replacement Gastrostomy Device,Gastroenterology-Urology Devices,0.238,,0.23,1004.9,0,0.16,204.82
53597,Century Bed,General Hospital and Personal Use Devices,0.37,22.85,,1788.7,0,0.25,203.93
95642,Device Recall  Neos Vanadium Excavator,Dental Devices,0.212,,0.4,1231.39,0,0.147,202.09
56072,Device Recall  Siemens syngo Imaging XS,Radiology Devices,0.524,32.87,1.69,7128.28,0,0.409,221.64
59367,Device Recall  ARCHITECT Intact PTH Calibrators,Clinical Chemistry and Clinical Toxicology Devices,0.336,17.52,,1332.89,0,0.228,205.94
56989,Device Recall  Aesculap S4 Element 4.5mm Polyaxial Screws,Orthopedic Devices,0.737,,4.5,7641.39,1,0.63,219.96
49530,Saber 30 Part Number A433001,General and Plastic Surgery Devices,0.191,25.27,0.23,675.0,0,0.116,
52127,Affixus Intramedullary Hip Fracture Nail,Orthopedic Devices,0.132,,0.0,1414.52,0,0.082,200.04
53687,Transesophegeal Ultrasound Transducer,Radiology Devices,0.391,30.7,0.85,3864.0,0,0.279,215.74
15796,Device Recall  Sharpoint,General and Plastic Surgery Devices,0.672,31.26,1.9,6136.01,1,0.549,
103572,"BD QSyte Extension Set, Luer access extension",General Hospital and Personal Use Devices,0.156,21.02,,-97.69,0,0.093,201.52
56015,Device Recall  AngioDynamics Morpheus Smart PICC CT,General Hospital and Personal Use Devices,0.409,23.56,,2191.66,0,0.293,206.75
101992,Somatom,Radiology Devices,0.211,26.88,0.23,1410.41,0,0.131,211.33
94856,Device Recall  Medtronic Carmedacoated,Cardiovascular Devices,0.19,29.25,0.16,1185.51,0,0.114,202.52
19990,Device Recall  CryoValve Allograft,Cardiovascular Devices,0.549,34.08,1.37,5886.66,0,0.418,212.46
102220,"Sterile Multi-Purpose Solution, NO RUB, for soft hydrophylic contact lenses. 12 fl oz. bottles. || Sold under the following brand names: || Family Dollar || HomeBest || HEB || Meijer || Food Lion || health PRIDE || Stop and Shop || Super G || sunmark || Brite-Life || Wegmans || Our Family || Healthy Generations || GoodSense || Winn Dixie || Finast || Western Family || K C Pharmaceuticals",Ophthalmic Devices,0.517,24.91,,2987.8,0,0.393,210.51
53492,Depuy Preservation Uni Knee,Orthopedic Devices,0.614,,2.77,5882.91,0,0.493,215.15
49367,CDI 500,Cardiovascular Devices,0.158,30.73,-0.06,-317.81,0,0.089,201.34
60086,Device Recall  Synthes 3.0 MM TI Cannulated Screw Instrument and Implant Set,Orthopedic Devices,0.137,,0.24,58.87,0,0.077,200.79
58642,Device Recall  AOA Mini RPE Screw Assembly,Dental Devices,0.106,,-0.01,-152.72,0,0.057,200.94
2957,"Medtronic Deep Brain Stimulation (DBS) Lead, Model 3387",Neurological Devices,0.234,25.78,0.25,922.0,0,0.145,202.28
23380,Device Recall  MagNa Pure,Hematology and Pathology Devices,0.382,17.98,,2328.68,0,0.274,207.77
52531,Boston Scientific /Microvasive,Cardiovascular Devices,0.326,31.89,0.81,1970.02,0,0.232,206.68
56280,Device Recall  Sarns SoftFlow Aortic Cannula,Cardiovascular Devices,0.162,30.62,0.15,1077.77,0,0.097,199.33
19681,Device Recall  RS 5F DL BIOFLO PASV,General Hospital and Personal Use Devices,0.186,20.58,,112.23,0,0.108,201.97
56829,Device Recall  DeRoyal Surgical Kits and Trays,General and Plastic Surgery Devices,0.061,26.36,0.04,13.07,0,0.046,
54676,Innova 2000,Radiology Devices,0.144,24.72,0.16,907.45,0,0.083,211.12
13676,Device Recall  Gentle Threads,Orthopedic Devices,0.333,,0.7,1096.28,0,0.209,203.8
42847,Wingman35 Crossing Catheters,Cardiovascular Devices,0.39,32.14,0.47,3823.59,0,0.267,205.88
21911,"Nichols IRMA Intact PTH Assay, catalog No. 40-2171",Clinical Chemistry and Clinical Toxicology Devices,0.27,16.6,,1577.19,0,0.175,202.36
98605,Device Recall  WalkMed Infusion Triton 90,General Hospital and Personal Use Devices,0.219,21.88,,1018.4,0,0.147,201.8
21684,Device Recall  ElectriCool II,Physical Medicine Devices,0.43,,1.39,2138.72,0,0.304,206.19
18804,Device Recall  Sterilization Wrap,General Hospital and Personal Use Devices,0.148,20.13,,48.59,0,0.083,201.7
58759,Device Recall  Acetabular Pressurizer 0206522000,Orthopedic Devices,0.274,,0.87,151.07,0,0.169,202.87
49552,MultiAnalyte Urine DAU Control (15 mL);,Clinical Chemistry and Clinical Toxicology Devices,0.538,20.62,,5063.07,0,0.42,212.25
22981,Device Recall  S/5 Anesthesia Delivery Unit,Anesthesiology Devices,0.62,27.9,,6434.88,0,0.496,214.62
19253,Device Recall  Capio SLIM,Obstetrical and Gynecological Devices,0.299,25.61,,823.05,0,0.187,204.83
52439,Stockert HeaterCooler System 3T,Cardiovascular Devices,0.33,31.58,0.52,2869.27,0,0.223,204.43
20369,Device Recall  Boston Scientific Scimed,Cardiovascular Devices,0.345,32.08,1.0,1968.85,0,0.235,202.59
96235,Device Recall  SJM Peel Away Introducer,Cardiovascular Devices,0.371,32.33,0.87,2987.32,0,0.26,204.53
100399,Receptal Canisters,General Hospital and Personal Use Devices,0.346,23.41,,1371.45,0,0.24,204.67
