device_id,device_name,classification,age_fraction,manufacturer_risk_tier,temperature,vibration,hours_used,failed,true_failure_probability,voltage
51167,BIOGRAPH mCT Flow 643R,Radiology Devices,0.393,high,28.51,1.1,3318.46,0,0.392,214.92
42513,Complete MoisturePlus contact lens solution,Ophthalmic Devices,0.42,low,22.63,,2215.01,0,0.26,205.08
21206,"Cook brand Zenith AAA Iliac leg graft with the H&L-B; One-Shot Introducer System, preloaded iliac leg graft - distal cuff diameter 18 mm - usable length 54mm - delivery system 16 FR; Catalog no. TFLE-18-54.",Cardiovascular Devices,0.665,high,36.51,2.17,7224.57,1,0.636,217.36
98329,Device Recall  CUSA NXT Ultra Surgical Aspirator System,General and Plastic Surgery Devices,0.483,high,28.63,0.93,3441.75,0,0.471,
94463,Device Recall  Baxa ExactaMix 600 Pharmacy compounding system,General Hospital and Personal Use Devices,0.735,medium,30.94,,6283.99,1,0.652,221.46
97663,"Device Recall  COULTER PrepPlus, Part Number: 286600",Clinical Chemistry and Clinical Toxicology Devices,0.182,high,15.06,,1870.93,0,0.25,199.48
95100,Device Recall  EasyDiagnost Eleva,Radiology Devices,0.375,high,27.46,0.7,4827.35,1,0.377,214.29
57476,Device Recall  CONFIDENCE SPINAL CEMENT SYSTEM 7CC KIT,Orthopedic Devices,0.364,medium,,1.08,2212.19,0,0.305,205.14
20489,Device Recall  Zimmon Pancreatic Stent,Gastroenterology-Urology Devices,0.138,medium,,0.16,-143.78,0,0.157,202.74
13211,Device Recall  FREEDOMAIRE(R) MOTOR MODULE,General Hospital and Personal Use Devices,0.044,medium,19.29,,496.61,0,0.106,199.1
52186,HemosIL ReadiPlasTin,Hematology and Pathology Devices,0.134,low,16.11,,384.79,0,0.074,200.29
14509,Device Recall  Contender Postop Knee Brace,Physical Medicine Devices,0.384,medium,,1.1,1282.26,0,0.307,203.84
30539,"Alere INRatio®2 PT/INR Test Strips, Heparin Insensitive",Hematology and Pathology Devices,0.383,medium,18.26,,2816.55,0,0.327,205.87
50322,TX1 Tissue Removal System,General and Plastic Surgery Devices,0.304,low,25.64,0.22,1034.86,0,0.162,
56874,Device Recall  Philips,Radiology Devices,0.423,high,30.39,1.21,4386.03,0,0.432,218.97
98673,Device Recall  DEPUY ASR RESURFACING FEMORAL HEADS,Orthopedic Devices,0.397,high,,0.89,2318.35,0,0.404,209.37
102553,Terumo APS 1,Cardiovascular Devices,0.068,high,30.41,0.26,45.95,1,0.19,199.23
22218,Device Recall  P.F.C.,Orthopedic Devices,0.757,high,,4.57,8674.3,1,0.752,223.66
18323,Device Recall  ECT Internal Fracture Fixation Drill Bits,Orthopedic Devices,0.1,high,,0.3,613.58,0,0.214,202.03
97526,"Device Recall  UROLOGIX CTC Advance"" Standard Microwave Catheter",Gastroenterology-Urology Devices,0.431,medium,,0.77,2396.15,0,0.357,208.68
95088,Device Recall  Fabius Trio Gas machine,Anesthesiology Devices,0.251,medium,21.47,,48.52,0,0.218,203.6
54118,Posey Connecting Strap/Belt,General Hospital and Personal Use Devices,0.109,medium,20.48,,-92.93,0,0.132,198.16
98280,"Device Recall  TwoLumen Central Venous Catheterization kit with Blue FlexTip  ARROW gard Blue PLUS Catheter, Shar",General Hospital and Personal Use Devices,0.594,high,27.66,,3813.24,1,0.574,213.61
100188,Superstat Modified Collagen Hemostatic Sponge,General and Plastic Surgery Devices,0.16,medium,25.21,0.28,1021.58,0,0.175,
14453,Device Recall  ProScreen,Clinical Chemistry and Clinical Toxicology Devices,0.206,high,15.57,,982.0,0,0.256,199.78
115957,Emblem and SQ-RX Subcutaneous-Implantable Cardiac Defibrillators (S-ICDs),Cardiovascular Devices,0.483,medium,33.2,1.28,4687.65,0,0.403,209.64
99358,Device Recall  Welcon,Gastroenterology-Urology Devices,0.429,high,,0.99,2416.4,0,0.421,205.46
54934,Device Recall  Innova SelfExpanding Stent System,Cardiovascular Devices,0.584,high,34.95,1.53,7454.46,1,0.567,214.61
98426,Device Recall  Huber TrapA Safety Huber Needle,General Hospital and Personal Use Devices,0.792,high,31.19,,7456.81,0,0.773,224.02
98436,"Device Recall  Modular Microplasty Cup inserter 3/8"" thread",Orthopedic Devices,0.065,high,,0.52,-502.74,0,0.189,198.07
16385,Device Recall  SENSAR,Ophthalmic Devices,0.495,medium,24.89,,3307.35,0,0.425,209.83
96154,Device Recall  Stryker 550 mL AutoFuser PainPump,General Hospital and Personal Use Devices,0.491,high,25.0,,3072.48,0,0.487,210.62
58300,Device Recall  Trabecular Metal,Orthopedic Devices,0.163,high,,0.46,502.2,0,0.241,200.95
96170,Device Recall  Alaris System InterUnit Interface (IUI) Connectors,General Hospital and Personal Use Devices,0.276,medium,20.39,,980.78,0,0.23,202.78
98854,"Device Recall  Brilliance 64 Computed Tomography XRay System Model 728231,",Radiology Devices,0.618,high,35.12,2.41,9071.72,1,0.604,225.89
52449,Fortify Assura,Cardiovascular Devices,0.523,medium,33.86,1.43,5440.75,0,0.443,212.84
42941,Medfusion Model 4000 Syringe Infusion Pump,General Hospital and Personal Use Devices,0.478,low,23.96,,2831.2,0,0.318,209.99
59767,Device Recall  EminiC,Anesthesiology Devices,0.232,high,21.23,,665.74,0,0.269,199.94
57612,Device Recall  Anspach Custom Circular ePlusFP,Neurological Devices,0.18,high,24.96,0.44,632.12,0,0.248,199.84
15786,Device Recall  Conical EP PickUp Coping (Hexed),Dental Devices,0.559,high,,1.76,3074.96,0,0.543,213.62
98133,Device Recall  Hydrophylic guidewire,Cardiovascular Devices,0.316,high,31.36,0.52,2504.02,0,0.337,203.18
57802,Device Recall  Stryker Irrigator Reusable Tips,General Hospital and Personal Use Devices,0.116,high,20.04,,427.61,0,0.215,201.99
99688,"Device Recall  Pinnacle Destination Guiding Sheath, 6 French, 90 cm",Cardiovascular Devices,0.427,medium,32.58,0.92,3584.3,0,0.348,205.51
21689,"BD ProbeTec¿ ET Urine Processing Kit, 4x25, catalog 440454, packaged in a carton containing 4 storage bags identified as BD ProbeTec¿ ET Urine Processing Pouches, 25 pouches/bag. Carton and bags labeled in part ***Becton, Dickinson and Company, 7 Loveton Circle, Sparks, MD 21152***",Immunology and Microbiology Devices,0.221,medium,15.87,,817.47,0,0.198,201.07
53973,Bone Screw,Orthopedic Devices,0.183,medium,,0.2,1126.66,0,0.19,203.39
102953,Morton IUI Catheter,Obstetrical and Gynecological Devices,0.449,medium,28.5,,3135.15,0,0.381,207.42
102915,RP Duet LX/Pro Out Port w/Seal,Anesthesiology Devices,0.455,medium,23.41,,4302.27,0,0.385,210.35
55267,Device Recall  Brilliance CT XRay System,Radiology Devices,0.258,high,28.89,0.38,2229.64,0,0.305,211.54
15325,"Device Recall  AB Sciex API 3200MD, 3200MD QTRAP, Triple Quad, QTRAP 4500MD LC/MS/MS Systems",Clinical Chemistry and Clinical Toxicology Devices,0.232,medium,15.27,,697.73,0,0.199,201.7
13348,"Device Recall  CROSSCHECK(R) Plating system, MTP CX Plate, Right, REF CCPMPX1R",Orthopedic Devices,0.278,medium,,0.8,1313.14,0,0.259,206.81
18998,Device Recall  Trabecular Metal Primary Hip Prosthesis,Orthopedic Devices,0.426,high,,1.6,2150.52,0,0.426,208.63
56967,Device Recall  ABL 700 blood gas analyzer,Clinical Chemistry and Clinical Toxicology Devices,0.155,medium,16.31,,1078.2,0,0.17,199.3
96502,Device Recall  APEX Hip System Bipolar Head,Orthopedic Devices,0.243,medium,,0.66,1406.17,0,0.216,198.95
96202,Device Recall  Exogen 4000Ultrasound Bone Healing System,Orthopedic Devices,0.041,high,,0.38,-317.24,0,0.175,199.15
103030,PREMISE,Dental Devices,0.622,high,,2.04,4324.51,1,0.602,214.98
18530,"Device Recall  Prosthesis Shoulder Hemi Humeral Metallic Uncemented.  ExploR, ExploR Radial Head",Orthopedic Devices,0.793,high,,5.32,9877.59,1,0.803,226.02
55393,"Device Recall  Encision AEM Suction Irrigation Electrode, LDiamond",General and Plastic Surgery Devices,0.281,medium,26.37,0.23,1051.88,0,0.239,
99457,Device Recall  BioPlex 2200 EBV IgG Calibrator Set.,Immunology and Microbiology Devices,0.128,medium,15.54,,1568.44,0,0.157,198.14
49558,"STAT 2 Primary Administration Set Gravity Flow Controller (NeedleFree),",General Hospital and Personal Use Devices,0.199,high,20.52,,437.33,0,0.252,200.87
93622,Device Recall  VS1000 Senator,Physical Medicine Devices,0.45,low,,1.43,2852.44,0,0.304,209.41
57135,"Device Recall  Adult Resuscitator, Pro5000 Series",Anesthesiology Devices,0.304,medium,20.88,,1485.23,0,0.254,204.82
95503,Device Recall  Zimmer NaturalKnee II System Modular Cemented Tibial Baseplate,Orthopedic Devices,0.306,high,,0.71,1224.04,0,0.331,204.68
95780,Device Recall  Diagnostic Chemicals Limited,Clinical Chemistry and Clinical Toxicology Devices,0.794,low,28.13,,10596.19,1,0.64,222.63
52027,Olympus High Freqency Resection Electrodes,Gastroenterology-Urology Devices,0.509,medium,,1.45,3098.32,0,0.417,207.65
96105,Device Recall  Roche Coaguchex XS Systems for Patient SelfTesting,Hematology and Pathology Devices,0.36,high,18.42,,2211.63,0,0.382,205.86
94141,Device Recall  INTELECT ADVANCED,Physical Medicine Devices,0.571,medium,,2.37,3812.63,0,0.481,212.14
19591,"Device Recall  Aplio Iseries (i700, i800, i900)",Radiology Devices,0.654,medium,35.08,2.6,11874.57,1,0.568,226.27
112149,Alere INRatio®/Alere INRatio®2,Hematology and Pathology Devices,0.383,low,19.04,,2272.84,0,0.248,206.14
94156,Device Recall  CADD Medication Cassette Reservoirs,General Hospital and Personal Use Devices,0.171,high,19.22,,498.8,0,0.249,204.22
53997,Prelude Short Sheath Introducer,Cardiovascular Devices,0.474,medium,32.64,1.18,3947.78,0,0.391,210.27
101523,Adelante Breezway,Cardiovascular Devices,0.23,medium,30.26,0.31,1304.73,0,0.208,202.87
42530,I-Flow On-Q Pump C-Cloc with Ondemand Bolus button,General Hospital and Personal Use Devices,0.281,low,22.01,,1184.71,0,0.162,201.53
101731,VIGILANT X4 CRTD,Cardiovascular Devices,0.07,medium,29.84,0.13,-350.28,0,0.115,199.87
20361,Device Recall  Boston Scientific Scimed,Cardiovascular Devices,0.711,medium,37.26,2.53,10250.53,1,0.623,219.3
20782,Device Recall  Acuson Cypress Echocardiography System,Radiology Devices,0.233,low,25.43,0.63,830.71,0,0.13,212.68
23095,"Toshiba America Medical Systems, Ultimax System MDX-8000A equipped with the EPS-Plus/ADR-1000A/E2D Digital Spot Film Device",Radiology Devices,0.424,medium,28.6,0.66,3929.39,0,0.336,216.59
50843,Maryland Dissector,General and Plastic Surgery Devices,0.493,high,28.97,1.03,3644.15,0,0.484,
53763,TURP Electrodes,Gastroenterology-Urology Devices,0.302,medium,,0.47,852.27,0,0.257,204.49
94382,Device Recall  Edwards LifeStent FlexStar Biliary Stent System,Gastroenterology-Urology Devices,0.098,high,,0.05,86.16,0,0.198,200.48
20114,Vision Hollow Fiber Oxygenator,Cardiovascular Devices,0.4,low,31.87,0.75,3987.56,0,0.248,205.16
98532,Device Recall  ATF 120 (item  9108501),Anesthesiology Devices,0.317,low,23.49,,1455.85,0,0.195,203.66
77470,"angonographic beacon tip torcon nb catheters, beacon tip royal flush plus high-flow and slip-cath beacon tip catheters",Cardiovascular Devices,0.578,medium,34.92,1.74,5592.25,0,0.485,213.41
114734,Brainlab Cranial Navigation System (all versions before Cranial 3.0),Neurological Devices,0.209,medium,25.09,0.15,817.55,0,0.194,203.53
99395,Device Recall  NEXGEN COMPLETE KNEE SOLUTION POSTERIOR REFERENCING SIZER BOOM,Orthopedic Devices,0.432,medium,,1.7,3482.69,0,0.373,208.59
74871,Duet External Drainage and Monitoring System,Neurological Devices,0.346,high,27.28,0.57,2715.25,0,0.367,204.28
52408,BOX PST03533 KIT APP STAPLER,General and Plastic Surgery Devices,0.457,medium,28.25,0.52,2691.51,0,0.363,
100388,Ready To Use ThymoCide,General Hospital and Personal Use Devices,0.395,low,23.77,,1599.71,0,0.243,204.58
60147,Device Recall  Diamondback 360 Peripheral Orbital Atherectomy System.,Cardiovascular Devices,0.175,low,29.42,0.09,-752.79,0,0.081,200.18
100518,VITROS Chemistry Products Calibrator Kit 2,Clinical Chemistry and Clinical Toxicology Devices,0.166,high,15.96,,1474.79,0,0.248,200.51
98195,Device Recall  Philips Healthcare HeartStart MRx,Cardiovascular Devices,0.232,high,30.69,0.26,1553.02,0,0.281,202.47
93567,Device Recall  Like Universal Sling Bar,General Hospital and Personal Use Devices,0.789,low,31.88,,7892.86,1,0.639,225.74
97730,Device Recall  ARTERIAL LINE KIT,Gastroenterology-Urology Devices,0.896,high,,3.9,10815.33,1,0.915,231.97
114123,CARESCAPE Monitor B650 Software Versions: 1.1.12.26 or earlier,Cardiovascular Devices,0.441,high,32.8,1.07,3532.59,0,0.439,209.23
113311,Allura Xper FD20 Biplane / FD20 Biplane OR table (Flouroscopic angiographic digital x-ray system) Software versions prior to 8.1.0.3 are affected,Radiology Devices,0.563,high,32.87,1.91,7115.5,1,0.545,223.67
93486,Device Recall  Endura NoReact,Cardiovascular Devices,0.627,high,35.01,2.05,7571.79,1,0.603,215.9
103086,Replacement Gastrostomy Device,Gastroenterology-Urology Devices,0.238,medium,,0.23,1004.9,0,0.224,204.82
53597,Century Bed,General Hospital and Personal Use Devices,0.37,medium,22.85,,1788.7,0,0.305,203.93
95642,Device Recall  Neos Vanadium Excavator,Dental Devices,0.212,medium,,0.4,1231.39,0,0.212,202.09
56072,Device Recall  Siemens syngo Imaging XS,Radiology Devices,0.524,high,32.87,1.69,7128.28,1,0.518,221.64
59367,Device Recall  ARCHITECT Intact PTH Calibrators,Clinical Chemistry and Clinical Toxicology Devices,0.336,high,17.52,,1332.89,0,0.355,205.94
56989,Device Recall  Aesculap S4 Element 4.5mm Polyaxial Screws,Orthopedic Devices,0.737,medium,,4.5,7641.39,1,0.647,219.96
49530,Saber 30 Part Number A433001,General and Plastic Surgery Devices,0.191,medium,25.27,0.23,675.0,1,0.184,
52127,Affixus Intramedullary Hip Fracture Nail,Orthopedic Devices,0.132,high,,0.0,1414.52,0,0.224,200.04
53687,Transesophegeal Ultrasound Transducer,Radiology Devices,0.391,medium,30.7,0.85,3864.0,0,0.331,215.74
15796,Device Recall  Sharpoint,General and Plastic Surgery Devices,0.672,low,31.26,1.9,6136.01,0,0.495,
103572,"BD QSyte Extension Set, Luer access extension",General Hospital and Personal Use Devices,0.156,medium,21.02,,-97.69,0,0.164,201.52
56015,Device Recall  AngioDynamics Morpheus Smart PICC CT,General Hospital and Personal Use Devices,0.409,high,23.56,,2191.66,0,0.413,206.75
101992,Somatom,Radiology Devices,0.211,medium,26.88,0.23,1410.41,0,0.198,211.33
94856,Device Recall  Medtronic Carmedacoated,Cardiovascular Devices,0.19,medium,29.25,0.16,1185.51,0,0.183,202.52
19990,Device Recall  CryoValve Allograft,Cardiovascular Devices,0.549,medium,34.08,1.37,5886.66,0,0.456,212.46
102220,"Sterile Multi-Purpose Solution, NO RUB, for soft hydrophylic contact lenses. 12 fl oz. bottles. || Sold under the following brand names: || Family Dollar || HomeBest || HEB || Meijer || Food Lion || health PRIDE || Stop and Shop || Super G || sunmark || Brite-Life || Wegmans || Our Family || Healthy Generations || GoodSense || Winn Dixie || Finast || Western Family || K C Pharmaceuticals",Ophthalmic Devices,0.517,low,24.91,,2987.8,0,0.354,210.51
53492,Depuy Preservation Uni Knee,Orthopedic Devices,0.614,high,,2.77,5882.91,1,0.594,215.15
49367,CDI 500,Cardiovascular Devices,0.158,high,30.73,-0.06,-317.81,0,0.23,201.34
60086,Device Recall  Synthes 3.0 MM TI Cannulated Screw Instrument and Implant Set,Orthopedic Devices,0.137,medium,,0.24,58.87,0,0.15,200.79
58642,Device Recall  AOA Mini RPE Screw Assembly,Dental Devices,0.106,medium,,-0.01,-152.72,0,0.131,200.94
2957,"Medtronic Deep Brain Stimulation (DBS) Lead, Model 3387",Neurological Devices,0.234,high,25.78,0.25,922.0,0,0.28,202.28
23380,Device Recall  MagNa Pure,Hematology and Pathology Devices,0.382,high,17.98,,2328.68,0,0.396,207.77
52531,Boston Scientific /Microvasive,Cardiovascular Devices,0.326,medium,31.89,0.81,1970.02,0,0.289,206.68
56280,Device Recall  Sarns SoftFlow Aortic Cannula,Cardiovascular Devices,0.162,high,30.62,0.15,1077.77,0,0.237,199.33
19681,Device Recall  RS 5F DL BIOFLO PASV,General Hospital and Personal Use Devices,0.186,high,20.58,,112.23,0,0.247,201.97
56829,Device Recall  DeRoyal Surgical Kits and Trays,General and Plastic Surgery Devices,0.061,medium,26.36,0.04,13.07,0,0.121,
54676,Innova 2000,Radiology Devices,0.144,high,24.72,0.16,907.45,0,0.225,211.12
13676,Device Recall  Gentle Threads,Orthopedic Devices,0.333,high,,0.7,1096.28,0,0.338,203.8
42847,Wingman35 Crossing Catheters,Cardiovascular Devices,0.39,low,32.14,0.47,3823.59,0,0.24,205.88
21911,"Nichols IRMA Intact PTH Assay, catalog No. 40-2171",Clinical Chemistry and Clinical Toxicology Devices,0.27,medium,16.6,,1577.19,0,0.237,202.36
98605,Device Recall  WalkMed Infusion Triton 90,General Hospital and Personal Use Devices,0.219,medium,21.88,,1018.4,0,0.212,201.8
21684,Device Recall  ElectriCool II,Physical Medicine Devices,0.43,medium,,1.39,2138.72,0,0.353,206.19
